sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_380	ELF3	2098	2313	2343	3042
s_5476	Non-Targeting Control	2287	2683	2552	3326
s_4355	OLIG1	2378	2642	2564	3399
s_1438	NRL	2522	2903	2828	3743
s_2900	DMRT2	2732	3137	2927	3903
s_2557	EOMES	2772	3137	3115	3929
s_4755	ZNF169	3247	3511	3436	4492
s_3558	DMAP1	2448	2614	2730	3669
s_1279	MXI1	1905	1981	1965	2687
s_2919	TBR1	1858	2000	2085	2699
s_3435	HES2	1445	1524	1573	2068
s_2121	TNF	3232	3637	3611	4840
s_4367	ZNF641	1895	2162	2239	2949
s_3140	ZIM2	2671	3092	3122	3973
s_2036	TEAD4	3102	3303	3402	4492
s_3222	ZNF285	2462	2731	2791	3719
s_706	HLA-C	1679	1877	1844	2378
s_2815	FLOT1	4545	4907	5299	6618
s_3412	KLF13	1868	1869	1885	2703
s_5580	Non-Targeting Control	4305	4978	4920	6375
s_3044	ATF5	2570	2849	2780	3641
s_1903	SS18	3005	3563	3477	4573
s_1209	MEF2A	3940	4267	4421	5672
s_4169	ZNF382	2426	2686	2802	3603
s_1852	SOX15	1048	1276	1380	1768
s_4462	LIN54	2248	2574	2635	3465
s_3295	RAX	1741	1922	2009	2625
s_4576	ZNF582	4230	4421	4619	6019
s_858	HOXB6	2137	2285	2178	2980
s_3065	ZBTB1	2525	2870	3029	3815
s_3968	ZNF613	967	1104	1083	1484
s_1820	SOX1	1106	1210	1134	1569
s_1860	SP1	3400	3978	3861	5139
s_5687	Non-Targeting Control	1920	1867	2083	2644
s_4980	ZNF789	1947	2156	2073	2984
s_3917	ZNF322	3094	3641	3592	4761
s_2845	IRF9	2185	2375	2358	3074
s_4570	SIX5	2532	2810	2919	3686
s_1447	NR4A2	1567	1761	1803	2386
s_737	HLX	2912	3529	3569	4760
s_2772	MED12	4408	5096	5265	6755
s_4228	ZNF766	3820	4122	4323	5727
s_3658	ZBTB2	2021	2287	2218	3068
s_2284	ZNF32	3268	3479	3788	4851
s_2654	IL1RL1	3365	3783	3878	4975
s_4430	DMBX1	1392	1544	1470	1943
s_3635	ZNF490	2412	2742	2504	3328
s_618	GBX2	2005	2326	2284	2998
s_5789	Non-Targeting Control	2031	2148	2079	2731
s_4563	ZNF563	1948	2185	2111	2888
s_3327	C6orf48	2781	3044	3019	4160
s_5338	TCF24	1691	1916	1921	2430
s_5455	Non-Targeting Control	2568	2833	3168	4034
s_1164	LYL1	1340	1507	1529	1984
s_5040	ZNF284	2187	2518	2482	3362
s_5744	Non-Targeting Control	1352	1490	1484	1952
s_99	BNC1	2351	2421	2541	3223
s_2816	FLOT1	1897	2116	2269	2946
s_1579	POU3F4	2318	2563	2563	3366
s_5301	FOXD4L5	1789	1943	2117	2676
s_3533	TRERF1	1324	1588	1505	2060
s_4695	ZNF433	3074	3222	3298	4083
s_1887	SREBF1	2057	2308	2346	3075
s_5835	Non-Targeting Control	2982	3401	3688	4604
s_1535	PKNOX1	1998	2170	2237	2952
s_2709	ONECUT2	2962	3113	3194	4205
s_4628	BTNL9	2151	2401	2404	3207
s_4856	RFX6	2539	2737	2719	3743
s_5726	Non-Targeting Control	2117	2464	2314	3062
s_5911	Non-Targeting Control	2282	2512	2598	3460
s_4635	NKX6-3	1627	1761	1753	2422
s_5933	Non-Targeting Control	1944	2171	2153	2851
s_4028	PBX4	1786	1888	1924	2560
s_4768	ZNF431	2046	2407	2410	3068
s_613	GBX1	1253	1423	1542	1875
s_1673	RELB	3499	3881	4006	5202
s_3813	NSD1	1364	1484	1665	2178
s_4406	ZNF543	1277	1549	1463	1893
s_1281	MYB	1840	2042	1988	2599
s_5804	Non-Targeting Control	1928	2202	2215	2768
s_3210	LHX6	2083	2192	2334	3044
s_4466	NOBOX	1950	2055	2196	2762
s_4176	ATOH8	1165	1273	1241	1729
s_5644	Non-Targeting Control	2130	2466	2415	3276
s_2103	THRA	2351	2609	2726	3690
s_2013	ZNF354A	2354	2624	2649	3663
s_5390	CCDC169-SOHLH2	2828	3335	3348	4349
s_435	ESR1	2407	2642	2798	3456
s_2380	ZNF136	3754	4242	4340	5692
s_2895	ARID3B	2366	2619	2716	3612
s_5539	Non-Targeting Control	2095	2453	2551	3341
s_3564	BARX1	1931	2079	2185	2899
s_3192	ZNF337	4182	4611	4717	6186
s_905	HOXC13	1608	1866	1907	2433
s_645	CXCR3	2197	2394	2317	3096
s_5872	Non-Targeting Control	2278	2404	2625	3381
s_49	ASCL1	2379	2750	2712	3442
s_2022	TCF21	931	1049	1094	1270
s_2398	ZNF146	1830	1952	2009	2792
s_5318	CCR2	3021	3416	3268	4369
s_5206	ZNF880	4959	5471	5790	7365
s_649	NR3C1	3749	4096	4090	5466
s_3370	KLF3	4220	4768	4867	6236
s_4982	ZNF789	4183	4703	4996	6510
s_2908	KLF1	1966	2176	2034	2861
s_5088	ZNF81	3626	4065	4235	5622
s_1698	RFX5	1226	1346	1418	1757
s_685	HIF1A	1603	1877	1806	2476
s_3309	ZNF354C	1863	2121	2195	2745
s_2457	ZNF205	3601	3891	3977	5128
s_158	CDC5L	1166	1221	1317	1645
s_3964	ZNF671	1602	1789	1832	2285
s_4244	ZNF439	2603	2913	2997	3917
s_4512	E2F7	2319	2492	2506	3321
s_5080	ZNF879	1264	2235	1451	2266
s_4698	ZNF433	3710	3965	4114	5599
s_3132	PATZ1	3768	4273	4096	5376
s_5126	ZNF808	2845	3282	3525	4268
s_4959	ZNF619	3729	4144	4256	5467
s_1516	PGR	1772	2117	1952	2561
s_2009	TCF15	1437	1542	1621	2041
s_4794	ZNF626	3206	3585	3542	4775
s_1627	PROP1	2363	2634	2525	3332
s_5113	ZNF445	2592	2736	2711	3524
s_5212	YY2	2909	3222	3390	4174
s_4886	ZNF718	2777	3114	3170	4211
s_2353	ZNF121	2347	2661	2846	3638
s_1036	IL9	2207	2305	2420	3396
s_2142	NR2C2	2148	2486	2318	3327
s_3752	ALX4	3667	4002	4046	5362
s_5174	SKOR1	1894	2166	2025	2909
s_671	GZMA	1569	1778	1839	2253
s_5450	Non-Targeting Control	1899	1973	2014	2765
s_1440	NRL	4288	4643	4896	6262
s_1429	NPAS2	2207	2527	2639	3575
s_2952	ZNF274	1894	2055	2133	2734
s_691	HIVEP1	2974	3379	3462	4500
s_4106	ZNF333	3377	3692	3598	4924
s_556	FOXS1	2340	2745	2554	3398
s_5471	Non-Targeting Control	3371	3846	3806	4962
s_1748	CCL1	1261	1444	1378	1783
s_5317	CCR2	2821	2986	3198	4484
s_336	E2F4	1865	2128	2031	2779
s_417	EPAS1	2739	3126	3017	4118
s_4198	SCRT2	1696	1863	1838	2342
s_5858	Non-Targeting Control	3144	3475	3345	4493
s_2424	ZNF175	2851	3108	3433	4131
s_1919	STAT4	2230	2538	2397	3200
s_2414	VEZF1	3052	3558	3532	4773
s_5353	ZNF705G	2436	2935	2852	3836
s_2802	CEBPZ	2153	2284	2292	3061
s_5263	ZNF674	2960	3165	3415	4401
s_258	CSF1	3161	3483	3491	4602
s_2503	GPANK1	2454	2717	2730	3607
s_2851	BTN3A3	1485	1583	1533	2110
s_5673	Non-Targeting Control	2514	2913	2779	3661
s_1593	POU5F1	2372	2534	2601	3487
s_5365	MEF2B	2039	2242	2239	3077
s_1317	MYOG	2276	2523	2471	3310
s_1665	REL	3086	3546	3628	4661
s_1034	IL9	2526	2798	2702	3594
s_1556	POU1F1	2741	3021	3198	4149
s_4954	ZFP82	2621	2986	2975	3754
s_4118	NKX6-2	1599	1756	1751	2458
s_5327	BTNL10	1893	2248	2065	2838
s_3158	VAX2	1220	1286	1282	1645
s_4136	SPZ1	2268	2507	2708	3509
s_485	MECOM	2966	3397	3349	4407
s_4494	ZFP92	1543	1787	1690	2169
s_5707	Non-Targeting Control	2036	2102	2035	2819
s_44	ARNT	1908	2016	2055	2748
s_4653	HSFY2	1555	1786	1769	2282
s_3799	NPAS3	2410	2590	2678	3596
s_4943	ZNF283	1783	1955	2075	2545
s_5659	Non-Targeting Control	1995	2210	2416	3120
s_4374	SP7	2329	2531	2555	3287
s_2794	NR1H3	2559	2707	2814	3625
s_5433	Non-Targeting Control	2825	3265	3271	4180
s_3661	ZBTB4	2407	2907	2758	3487
s_2464	ZNF213	1696	1776	1841	2408
s_5151	LIN28B	2543	2876	3001	3991
s_3629	ZNF304	2930	3292	3430	4565
s_3844	ZNF574	2594	3004	2936	3870
s_5760	Non-Targeting Control	1501	1663	1732	2370
s_4828	GSX1	2155	2435	2426	3228
s_4935	ZSCAN1	2396	2513	2408	3607
s_289	DLX2	3027	3581	3481	4589
s_2215	ZNF2	2279	2578	2432	3395
s_3792	PRDM15	3382	3904	3918	5045
s_4109	LCOR	2050	2289	2308	3029
s_2031	TEAD1	2386	2683	2593	3497
s_2272	ZNF23	2614	3025	2994	3955
s_4083	MIXL1	1025	1111	1068	1490
s_756	HMX2	1289	1427	1511	1992
s_3518	ZFP64	1435	1643	1606	2109
s_347	E4F1	2104	2470	2307	3118
s_3478	ZNF444	1217	1384	1371	1758
s_3700	NFE4	1659	1822	1810	2264
s_879	HOXC5	1761	1960	2102	2862
s_3755	PKNOX2	2425	2705	2757	3695
s_4905	NPAS4	1581	1674	1771	2424
s_2436	ZNF184	3998	4340	4662	6022
s_4392	HSF5	4224	4790	4773	6306
s_1878	SPIB	2321	2484	2386	3375
s_2760	SETDB1	2453	2744	2872	3757
s_5822	Non-Targeting Control	2285	2642	2643	3560
s_1073	CXCL10	2141	2381	2293	3219
s_5915	Non-Targeting Control	1599	1801	1901	2304
s_1910	STAT2	2402	2510	2721	3488
s_1439	NRL	2697	3111	3028	4062
s_5393	ZNF891	2448	2693	2881	3477
s_620	GBX2	1852	1986	2050	2619
s_2180	XBP1	3000	3363	3506	4600
s_1117	JAK3	3373	3724	3575	4734
s_61	ATF1	2912	3346	3291	4435
s_5904	Non-Targeting Control	1814	2091	2075	2752
s_301	DLX5	1248	1405	1417	1825
s_2469	ZNF217	2946	3144	3316	4181
s_669	GZMA	3322	3679	3726	4705
s_4838	ATOH7	1330	1418	1432	1935
s_4516	GSC	2304	2599	2691	3436
s_5363	MEF2B	2892	3174	3163	4222
s_3268	ZBTB44	4330	4869	4978	6435
s_3860	DCLRE1B	2330	2755	2655	3478
s_3290	TLX3	1572	1847	1810	2339
s_2102	THRA	1625	1787	1843	2422
s_687	HIF1A	2918	3344	3648	4599
s_2755	ZEB2	3634	3846	4211	5185
s_610	GATA6	1642	1707	1791	2394
s_1863	SP2	3143	3356	3357	4371
s_4496	ZFP28	2322	2615	2824	3566
s_3499	SOX6	2086	2377	2386	3181
s_2791	ZBTB33	1810	2008	2155	2689
s_196	CENPB	1127	1300	1211	1622
s_5593	Non-Targeting Control	2508	2799	2848	3703
s_3459	SOHLH2	2553	2777	2866	3682
s_5558	Non-Targeting Control	2508	2714	2738	3692
s_4397	ZFP3	1278	1386	1355	1841
s_1153	LTB	1313	1416	1293	1802
s_3480	ZNF444	1943	2294	2242	2818
s_2343	ZNF85	1868	2133	2053	2834
s_636	GLI2	2305	2625	2459	3333
s_5152	LIN28B	3206	3512	3645	4743
s_249	CREM	3290	3819	3906	5042
s_4738	ZNF467	1522	1591	1729	2373
s_1769	CCL8	1975	2277	2212	2872
s_1550	PRRX1	1059	1122	1089	1490
s_18	AIF1	2821	3001	3221	4008
s_5014	TFAP2E	1602	1657	1668	2183
s_4773	ZNF384	1483	1708	1539	2027
s_592	GABPA	3059	3362	3351	4395
s_4247	ZNF486	2450	2845	2773	3690
s_1204	MAZ	1034	1189	1051	1521
s_5950	Non-Targeting Control	2040	2326	2390	2985
s_4826	ZNF449	1880	2040	2138	2698
s_2773	NR1I3	3420	3930	3794	4971
s_1595	POU5F1	2119	2322	2259	2933
s_2569	ZNF282	2367	2819	2655	3314
s_2395	ZBTB16	1826	1997	1914	2509
s_2937	PHTF1	2799	3187	3136	4067
s_5560	Non-Targeting Control	2598	2977	3027	3797
s_1329	NEUROG1	2560	2777	2748	3766
s_1077	INSM1	1322	1465	1682	2105
s_3592	LHX9	3463	3778	3805	4794
s_3541	ZKSCAN7	2643	2925	3006	4008
s_3466	FEZF2	1496	1756	1663	2284
s_5647	Non-Targeting Control	1709	1870	1901	2517
s_2148	TRPS1	1857	1973	1963	2692
s_4036	ZNF34	1960	2357	2239	3002
s_5857	Non-Targeting Control	1988	2192	2152	2984
s_4539	ZNF534	3811	4265	4464	5510
s_991	IL2	2409	2817	2771	3583
s_743	HMGA1	3113	3397	3524	4435
s_4765	GSX2	1411	1544	1564	2012
s_2422	ZNF175	1870	2089	2075	2702
s_2878	BATF	2152	2358	2355	3037
s_3773	DMRTA1	3178	3449	3384	4398
s_1944	TAL2	3206	3564	3700	4678
s_4110	LCOR	2033	2145	2275	2818
s_880	HOXC5	2688	3180	3096	3999
s_5041	ZNF284	2690	3117	3207	4213
s_1208	MECP2	1876	2125	2132	2780
s_4201	HSFY1	2888	3531	3312	4427
s_3350	YBX2	1649	1787	1830	2378
s_2649	TBX18	2023	2214	2162	2813
s_5485	Non-Targeting Control	2169	2433	2455	3381
s_1016	IL5	2115	2369	2528	3212
s_5554	Non-Targeting Control	1809	2074	2106	2796
s_582	NR5A2	2458	2704	2757	3673
s_2416	VEZF1	2342	2627	2660	3449
s_2201	ZIC1	2239	2445	2388	3157
s_3278	TFCP2L1	3415	3713	3791	4907
s_4249	TGIF2LY	3028	3424	3275	4320
s_4955	HKR1	2991	3320	3135	4181
s_3292	TLX3	2597	2793	2865	3756
s_5150	ZNF662	1852	2078	1890	2674
s_1590	POU4F3	3066	3525	3435	4496
s_1985	HNF1B	2779	3164	2946	3965
s_5630	Non-Targeting Control	3822	4279	4567	5779
s_978	IFNGR2	1455	1572	1559	2077
s_3260	BHLHE22	1049	1244	1170	1599
s_3193	PTPN22	2625	2881	2919	3888
s_4053	TCF7L1	1921	2052	2194	2846
s_5769	Non-Targeting Control	2196	2534	2452	3395
s_2245	ZNF16	3374	3775	3634	4793
s_1140	LHX1	1449	1646	1586	2180
s_7	AGER	3482	3766	3917	5293
s_1754	CCL3	2908	2959	3077	4048
s_4349	OSR2	1383	1478	1491	1947
s_2667	GCM2	2972	3350	3303	4267
s_813	HOXA6	2626	2893	2875	3695
s_1003	IL3	4211	4635	4443	5976
s_24	AKT1	1467	1708	1569	2249
s_3095	CIC	1893	2070	2077	2918
s_2678	ZNF235	3735	4250	4256	5865
s_5017	ZFP69	4241	4773	4742	6172
s_1987	HNF1B	2640	2975	2967	4009
s_5213	YY2	2103	2318	2300	3032
s_1104	IRF5	2033	2277	2391	2948
s_1891	SREBF2	3062	3170	3287	4270
s_1428	NPAS1	989	1068	1080	1464
s_4683	ZNF846	2390	2724	2697	3475
s_4665	ZNF519	1711	1915	1900	2391
s_109	KLF5	2437	2776	2783	3593
s_2357	ZNF124	2187	2455	2407	3298
s_1937	TAL1	2154	2368	2405	3020
s_3253	VENTX	1176	1332	1395	1725
s_5632	Non-Targeting Control	2053	2194	2424	3013
s_2419	ZNF174	2405	2648	2708	3531
s_129	RUNX3	2125	2169	2244	2937
s_69	ATF4	1758	1892	1976	2455
s_1382	NFKB1	2042	2315	2139	2844
s_1433	NRF1	3732	4187	4192	5474
s_2	ABCF1	1475	1684	1704	2276
s_2060	TFAP2C	3302	3559	3762	4855
s_1569	POU3F1	1844	2009	1911	2620
s_1094	IRF3	1451	1652	1589	2013
s_721	HLA-DQB2	1302	1484	1511	2000
s_2844	KLF2	1427	1548	1628	2113
s_1218	MEF2D	2727	3128	3171	4062
s_2078	TFDP1	2443	2692	2683	3663
s_5203	ZNF880	1890	2186	2062	2780
s_5093	TBX10	2803	3006	3099	4068
s_4707	ZNF383	2786	3154	3153	4171
