sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
s_5393_r3	ZNF891	72.003	1020.6	72.003	1020.6	3.8067	4.4989e+05	713.98	35.5	1	2.5054e-276	5.0108e-276	1.2026e-271	True
s_3921_r1	ZNF768	231.72	1063.6	231.72	1063.6	2.1937	3.4605e+05	2297.7	17.355	1	8.9831e-68	1.7966e-67	2.1559e-63	True
s_5710_r2	Non-Targeting Control	41.554	347.51	41.554	347.51	3.0338	46805	412.05	15.073	1	1.2529e-51	2.5058e-51	2.0046e-47	True
s_5687_r2	Non-Targeting Control	230.03	821.84	230.03	821.84	1.8325	1.7512e+05	2281	12.391	1	1.4544e-35	2.9088e-35	1.7453e-31	True
s_3211_r2	LHX6	102.4	475.97	102.4	475.97	2.2057	69779	1015.4	11.724	1	4.8327e-32	9.6655e-32	4.6394e-28	True
s_1716_r3	RREB1	19.637	179.62	19.637	179.62	3.1296	12797	194.72	11.465	1	1.0774e-30	2.1548e-30	8.6193e-27	True
s_4603_r2	CREB3L4	277.52	869.6	277.52	869.6	1.6442	1.7528e+05	2751.9	11.287	1	7.6364e-30	1.5273e-29	5.2364e-26	True
s_616_r2	GBX1	75.687	299.75	75.687	299.75	1.9715	25102	750.52	8.1788	1	1.4381e-16	2.8761e-16	8.6283e-13	True
s_3314_r3	IL22	877.12	126.55	877.12	126.55	-2.7834	2.8168e+05	8697.6	8.0481	4.2047e-16	1	8.4094e-16	2.2425e-12	False
s_4986_r3	ZNF707	1011.3	212.28	1011.3	212.28	-2.2468	3.1923e+05	10028	7.9791	7.3718e-16	1	1.4744e-15	3.5385e-12	False
s_3921_r3	ZNF768	42.547	200.03	42.547	200.03	2.2068	12401	421.9	7.6671	1	8.9665e-15	1.7933e-14	3.9127e-11	True
s_1341_r3	NFIA	238.92	604.18	238.92	604.18	1.3348	66707	2369.1	7.5042	1	3.0898e-14	6.1796e-14	1.1565e-10	True
s_3092_r3	HIC2	255.28	632.75	255.28	632.75	1.3062	71242	2531.4	7.5024	1	3.1323e-14	6.2645e-14	1.1565e-10	True
s_956_r3	HSF2	553.11	8.1645	553.11	8.1645	-5.918	1.4848e+05	5484.7	7.3583	5.2586e-14	1	1.0517e-13	1.8029e-10	False
s_140_r3	CD1A	706.94	106.14	706.94	106.14	-2.7241	1.8048e+05	7010	7.1758	3.5952e-13	1	7.1905e-13	1.1505e-09	False
s_1949_r3	TBX1	415.65	873.61	415.65	873.61	1.0698	1.0486e+05	4121.6	7.1332	1	4.9015e-13	9.8029e-13	1.4049e-09	True
s_3492_r3	BATF3	1299.3	489.87	1299.3	489.87	-1.4054	3.276e+05	12884	7.1312	4.9756e-13	1	9.9512e-13	1.4049e-09	False
