id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Non-Targeting	2372	5.1638e-187	1.1103e-08	1e-05	1	0	0.0	3.131e-140	1.1103e-08	1e-05	1	0	0.0
TNFAIP3	16	0.91789	0.9179	0.999599	1216	0	0.22524	8.3968e-12	1.4804e-08	1e-05	2	12	0.22524
ZNF768	16	0.98134	0.98134	0.999599	1315	0	0.038744	2.0483e-07	2.0688e-06	0.000932	3	5	0.038744
TGIF1	16	0.95673	0.95675	0.999599	1272	0	0.10495	0.00011816	0.00084227	0.275158	4	9	0.10495
IRF6	16	0.95292	0.95293	0.999599	1268	0	-0.0037687	0.00014419	0.0010184	0.275158	5	4	-0.0037687
FOXG1	16	0.89196	0.89214	0.999599	1175	1	0.046853	0.00023563	0.001576	0.354853	6	6	0.046853
ZNF891	16	0.93817	0.93818	0.999599	1247	0	0.018518	0.00036991	0.0023545	0.454424	7	4	0.018518
TBX1	16	0.85563	0.86231	0.999599	1115	1	0.048836	0.00054393	0.0033495	0.565642	8	7	0.048836
NFIA	16	0.76123	0.80924	0.999599	1045	1	-0.0092279	0.00077186	0.0046322	0.649033	9	3	-0.0092279
IL1R1	16	0.54405	0.6852	0.999599	875	2	0.018144	0.0008025	0.0048041	0.649033	10	5	0.018144
JDP2	16	0.9996	0.9996	0.999599	1351	0	0.075437	0.0011332	0.006622	0.813308	11	7	0.075437
SREBF1	16	0.93088	0.9309	0.999599	1236	0	0.022428	0.0014909	0.0082917	0.895825	12	3	0.022428
EGFP	52	0.015869	0.086657	0.818698	111	5	0.02316	0.0016996	0.013848	0.93544	13	13	0.02316
ARGFX	16	0.40619	0.59022	0.999599	741	2	0.032697	0.0017077	0.0092953	0.895825	14	4	0.032697
HLA-DQB1	16	0.87439	0.8767	0.999599	1145	1	0.077863	0.0017638	0.0095539	0.895825	15	6	0.077863
LHX6	16	0.062121	0.17219	0.98154	237	1	0.016622	0.0018483	0.0099462	0.895825	16	4	0.016622
WT1	16	0.10373	0.24628	0.995633	334	1	0.047766	0.0020878	0.011047	0.922663	17	7	0.047766
STAT2	16	0.88737	0.88789	0.999599	1167	1	0.039904	0.0023033	0.012027	0.922663	18	7	0.039904
TET1	16	0.9792	0.97919	0.999599	1313	0	0.076628	0.0023623	0.012293	0.922663	19	7	0.076628
RREB1	16	0.20548	0.38924	0.999599	491	3	0.0011044	0.0025867	0.01331	0.93544	20	6	0.0011044
RORA	16	0.96484	0.96484	0.999599	1286	0	0.013409	0.0031484	0.015831	0.976093	21	4	0.013409
HLA-DRA	16	0.97237	0.97236	0.999599	1296	0	0.069526	0.0032188	0.016147	0.976093	22	7	0.069526
CREB3L4	16	0.92917	0.92918	0.999599	1233	0	0.022959	0.0033246	0.016617	0.976093	23	5	0.022959
GSC	16	0.93384	0.93385	0.999599	1241	0	-0.010718	0.0035446	0.017594	0.976548	24	3	-0.010718
PTEN	16	0.90355	0.90355	0.999599	1193	0	0.053303	0.0038891	0.019119	0.976548	25	5	0.053303
GBX1	16	0.74385	0.8017	0.999599	1034	1	0.011904	0.004062	0.019879	0.976548	26	3	0.011904
ZNF79	16	0.95708	0.9571	0.999599	1274	0	0.042897	0.0044203	0.021445	0.976548	27	6	0.042897
TIGD1	16	0.92089	0.9209	0.999599	1222	0	0.014333	0.0052084	0.024877	0.976548	28	4	0.014333
ZNF764	16	0.99214	0.99214	0.999599	1330	0	0.065249	0.0052398	0.025013	0.976548	29	6	0.065249
ZNF582	16	0.99832	0.99832	0.999599	1347	0	0.047995	0.0057648	0.027266	0.976548	30	7	0.047995
ZNF766	16	0.086893	0.21673	0.982102	291	2	0.024123	0.0058761	0.027742	0.976548	31	4	0.024123
HOXD4	16	0.42263	0.60091	0.999599	754	2	0.024732	0.006022	0.02826	0.976548	32	4	0.024732
CCL2	16	0.97297	0.97297	0.999599	1297	0	0.044761	0.006129	0.02864	0.976548	33	5	0.044761
HIC2	16	0.0067131	0.028882	0.527299	74	5	-0.05399	0.0062711	0.029147	0.976548	34	1	-0.05399
DMBX1	16	0.25992	0.44973	0.999599	564	2	0.021241	0.0063734	0.029508	0.976548	35	3	0.021241
ZNF384	16	0.7733	0.8148	0.999599	1055	1	-0.013072	0.0069325	0.031482	0.976548	36	2	-0.013072
LIN28A	16	0.92068	0.92069	0.999599	1221	0	0.045167	0.00709	0.032034	0.976548	37	6	0.045167
DPRX	16	0.53234	0.67663	0.999599	862	2	-0.0085914	0.0074099	0.03316	0.976548	38	4	-0.0085914
ZNF691	16	0.43262	0.60748	0.999599	761	1	0.018013	0.0074184	0.033189	0.976548	39	5	0.018013
NEUROD4	16	0.28384	0.47624	0.999599	600	3	0.007648	0.0077969	0.034516	0.976548	40	5	0.007648
ZSCAN16	16	0.94449	0.94449	0.999599	1256	0	0.0033858	0.0078726	0.034782	0.976548	41	4	0.0033858
HLF	16	0.027405	0.091085	0.832782	145	3	-0.023072	0.0084756	0.036879	0.976548	42	2	-0.023072
JAK3	16	0.96806	0.96807	0.999599	1288	0	0.018216	0.0085987	0.037302	0.976548	43	5	0.018216
ZNF442	16	0.50343	0.65588	0.999599	832	2	0.0041417	0.0092094	0.039419	0.976548	44	4	0.0041417
