sgRNA	Gene	D3_high	D3_low	D4_high	D4_low
s_172	CDX4	707	848	259	331
s_894	HOXC10	523	552	187	225
s_3574	ASCL3	622	618	213	281
s_4594	ZNF681	1099	1179	446	506
s_5659	Non-Targeting Control	567	736	241	347
s_5476	Non-Targeting Control	273	277	115	115
s_2463	ZNF213	730	861	290	360
s_1767	CCL7	1109	1173	434	487
s_3047	MTF2	1025	1078	360	511
s_5477	Non-Targeting Control	754	712	289	342
s_1259	MNT	827	971	343	398
s_3435	HES2	541	589	209	270
s_1403	NFYC	288	284	91	158
s_3287	TBX21	354	430	154	203
s_4266	CREB3L1	1202	1290	498	592
s_181	CEBPD	920	986	374	436
s_5641	Non-Targeting Control	1023	997	427	489
s_1740	SALL1	1374	1475	506	599
s_4476	NKX2-6	643	662	271	285
s_162	CDX1	179	201	98	89
s_2285	ZNF33A	281	354	117	132
s_3675	ZNF317	538	611	232	319
s_4531	ZNF785	1609	1772	644	734
s_5960	Non-Targeting Control	524	607	225	273
s_1008	IL4	1025	1217	434	510
s_4041	TIGD6	794	920	302	399
s_1627	PROP1	372	397	134	172
s_4973	ZNF660	1302	1536	496	686
s_1274	MTF1	569	696	234	317
s_4123	RHOXF2	334	387	138	175
s_5087	ZNF81	1186	1363	481	617
s_1794	SIX3	138	166	59	76
s_494	BPTF	974	1077	413	461
s_1765	CCL7	782	833	323	398
s_3481	ZNF331	1088	1271	417	551
s_782	HNRNPK	588	674	256	336
s_3601	BBX	884	949	351	424
s_4620	ZNF595	829	956	343	406
s_3664	ZBTB4	181	312	85	164
s_1012	IL4R	688	882	304	367
s_1071	FOXK2	734	788	298	360
s_164	CDX1	682	694	310	330
s_1959	TBX2	323	406	144	181
s_1119	JAK3	363	340	169	167
s_5638	Non-Targeting Control	1866	1921	751	903
s_4425	ZNF792	587	649	226	276
s_1358	NFE2L1	697	729	289	350
s_2298	ZNF37A	978	1094	422	451
s_4268	CREB3L1	171	176	74	74
s_1149	LTA	728	799	315	388
s_3686	HES4	93	107	38	48
s_2473	ZNF223	1150	1206	424	524
s_1680	REST	1213	1327	494	611
s_424	NR2F6	578	618	204	277
s_4027	PBX4	913	1011	362	448
s_3667	ZFP14	940	977	354	480
s_5931	Non-Targeting Control	729	829	340	377
s_121	RUNX2	1271	1405	593	591
s_3876	ZNF649	1135	1254	471	485
s_5221	ZNF705A	676	857	326	382
s_5719	Non-Targeting Control	445	737	251	411
s_593	GATA1	258	249	81	91
s_1793	SIX3	829	842	299	379
s_1626	PROP1	1067	1212	458	547
s_1556	POU1F1	939	959	355	421
s_5605	Non-Targeting Control	545	671	245	279
s_4336	ZNF554	949	1072	371	417
s_4296	CENPBD1	496	644	272	323
s_111	KLF5	875	983	400	408
s_5157	FEZF1	428	513	146	217
s_669	GZMA	1359	1452	539	642
s_3912	HMBOX1	739	856	303	340
s_4114	ZNF527	916	998	382	466
s_225	CCR8	1130	1226	462	565
s_18	AIF1	305	315	109	158
s_861	HOXB7	392	478	175	191
s_4591	ZNF681	669	733	270	339
s_5431	Non-Targeting Control	744	846	307	385
s_5250	ARGFX	709	752	272	352
s_4541	ZNF534	925	925	337	425
s_3870	ZFP69B	1175	1236	513	581
s_4853	FOXK1	858	870	333	416
s_3172	ZNF521	491	503	198	227
s_2785	NR2E3	915	1082	398	473
s_137	CD1A	838	981	342	433
s_1544	PLAGL1	508	581	219	269
s_5636	Non-Targeting Control	140	217	54	93
s_90	PRDM1	642	798	266	362
s_5954	Non-Targeting Control	699	911	307	367
s_5893	Non-Targeting Control	1360	1413	547	637
s_1791	SIX1	661	673	257	331
s_5208	ZBTB34	1054	1155	370	508
s_1442	YBX1	1090	1214	408	579
s_3477	ZNF444	332	425	137	156
s_3534	TRERF1	462	520	208	218
s_5293	SKOR2	382	413	174	209
s_5262	ZNF704	287	343	96	156
s_4317	ZNF101	598	639	263	286
s_3314	IL22	525	665	31	268
s_2021	TCF21	655	764	258	328
s_497	FOXG1	771	759	303	360
s_4400	ZNF816	927	1077	408	478
s_1856	SOX12	487	511	186	251
s_1993	TCF7	959	1053	380	469
s_974	IFNGR1	578	687	276	302
s_544	FOXE1	310	482	172	247
s_5237	ZNF716	1132	1266	459	547
s_327	E2F2	815	815	285	367
s_2227	ZNF7	693	722	259	315
s_2272	ZNF23	921	951	417	470
s_353	EGR1	1706	1909	689	823
s_2532	NR4A3	822	780	293	368
s_3423	BCL11A	626	618	262	324
s_788	TLX1	926	1019	359	442
s_4993	FOXD4L3	1411	1471	537	679
s_433	ESR1	673	673	270	339
s_334	E2F4	1369	1376	463	624
s_5186	ZNF805	503	576	201	262
s_568	FLI1	929	1049	388	490
s_431	ERG	1279	1307	534	649
s_5313	ZNF705D	994	1040	377	468
s_4436	KLF17	1051	1214	417	566
s_2767	MAFB	573	789	257	360
s_5112	ZNF445	784	853	314	385
s_1067	IL17A	436	603	215	367
s_2616	JRKL	1240	1230	449	570
s_5588	Non-Targeting Control	625	737	271	290
s_110	KLF5	352	393	157	154
s_2081	TFDP2	928	992	381	407
