sgRNA	Gene	D1_high	D1_low	D2_high	D2_low	D3_high	D3_low	D4_high	D4_low
s_380	ELF3	2098	2313	2343	3042	704	810	285	364
s_5476	Non-Targeting Control	2287	2683	2552	3326	273	277	115	115
s_4355	OLIG1	2378	2642	2564	3399	761	778	309	349
s_1438	NRL	2522	2903	2828	3743	625	767	281	388
s_2900	DMRT2	2732	3137	2927	3903	1244	1305	520	602
s_2557	EOMES	2772	3137	3115	3929	664	775	317	336
s_4755	ZNF169	3247	3511	3436	4492	994	1189	400	514
s_3558	DMAP1	2448	2614	2730	3669	797	841	306	406
s_1279	MXI1	1905	1981	1965	2687	376	398	144	178
s_2919	TBR1	1858	2000	2085	2699	404	468	163	208
s_3435	HES2	1445	1524	1573	2068	541	589	209	270
s_2121	TNF	3232	3637	3611	4840	524	551	190	223
s_4367	ZNF641	1895	2162	2239	2949	732	785	285	374
s_3140	ZIM2	2671	3092	3122	3973	958	1039	434	476
s_2036	TEAD4	3102	3303	3402	4492	946	970	384	474
s_3222	ZNF285	2462	2731	2791	3719	702	796	289	363
s_706	HLA-C	1679	1877	1844	2378	393	458	158	192
s_2815	FLOT1	4545	4907	5299	6618	1763	1803	667	808
s_3412	KLF13	1868	1869	1885	2703	567	583	231	268
s_5580	Non-Targeting Control	4305	4978	4920	6375	569	910	305	331
s_3044	ATF5	2570	2849	2780	3641	1247	1269	485	576
s_1903	SS18	3005	3563	3477	4573	245	221	79	90
s_1209	MEF2A	3940	4267	4421	5672	1356	1435	488	708
s_4169	ZNF382	2426	2686	2802	3603	857	987	378	463
s_1852	SOX15	1048	1276	1380	1768	105	187	59	102
s_4462	LIN54	2248	2574	2635	3465	367	432	158	187
s_3295	RAX	1741	1922	2009	2625	752	782	283	332
s_4576	ZNF582	4230	4421	4619	6019	1226	1370	483	574
s_858	HOXB6	2137	2285	2178	2980	77	132	48	50
s_3065	ZBTB1	2525	2870	3029	3815	714	760	322	351
s_3968	ZNF613	967	1104	1083	1484	52	64	22	44
s_1820	SOX1	1106	1210	1134	1569	227	205	84	80
s_1860	SP1	3400	3978	3861	5139	472	574	181	255
s_5687	Non-Targeting Control	1920	1867	2083	2644	499	155	209	183
s_4980	ZNF789	1947	2156	2073	2984	801	848	281	380
s_3917	ZNF322	3094	3641	3592	4761	881	824	337	434
s_2845	IRF9	2185	2375	2358	3074	528	638	217	291
s_4570	SIX5	2532	2810	2919	3686	295	388	147	164
s_1447	NR4A2	1567	1761	1803	2386	446	505	167	204
s_737	HLX	2912	3529	3569	4760	146	194	112	73
s_2772	MED12	4408	5096	5265	6755	1092	1119	411	554
s_4228	ZNF766	3820	4122	4323	5727	1143	957	400	625
s_3658	ZBTB2	2021	2287	2218	3068	823	951	375	444
s_2284	ZNF32	3268	3479	3788	4851	1240	1277	505	612
s_2654	IL1RL1	3365	3783	3878	4975	1062	1192	447	551
s_4430	DMBX1	1392	1544	1470	1943	44	24	23	16
s_3635	ZNF490	2412	2742	2504	3328	766	819	290	427
s_618	GBX2	2005	2326	2284	2998	349	386	147	194
s_5789	Non-Targeting Control	2031	2148	2079	2731	359	382	159	181
s_4563	ZNF563	1948	2185	2111	2888	823	882	303	414
s_3327	C6orf48	2781	3044	3019	4160	358	604	120	263
s_5338	TCF24	1691	1916	1921	2430	699	772	253	328
s_5455	Non-Targeting Control	2568	2833	3168	4034	837	1037	378	500
s_1164	LYL1	1340	1507	1529	1984	91	129	43	63
s_5040	ZNF284	2187	2518	2482	3362	305	271	127	99
s_5744	Non-Targeting Control	1352	1490	1484	1952	447	511	189	219
s_99	BNC1	2351	2421	2541	3223	484	571	212	250
s_2816	FLOT1	1897	2116	2269	2946	588	562	239	304
s_1579	POU3F4	2318	2563	2563	3366	367	419	160	228
s_5301	FOXD4L5	1789	1943	2117	2676	706	813	300	354
s_3533	TRERF1	1324	1588	1505	2060	487	581	222	267
s_4695	ZNF433	3074	3222	3298	4083	1023	1117	409	527
s_1887	SREBF1	2057	2308	2346	3075	577	636	238	301
s_5835	Non-Targeting Control	2982	3401	3688	4604	967	986	367	510
s_1535	PKNOX1	1998	2170	2237	2952	664	719	262	324
s_2709	ONECUT2	2962	3113	3194	4205	517	593	221	325
s_4628	BTNL9	2151	2401	2404	3207	544	580	209	239
s_4856	RFX6	2539	2737	2719	3743	616	668	287	320
