id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Non-Targeting	593	2.1626e-69	4.9489e-06	0.000361	1	0	0.0	-3.0035e-51	4.9489e-06	0.000482	1	0	0.0
DUSP1	4	1.0	1.0	0.999995	584	0	0.29017	1.4947e-09	4.9489e-06	0.000482	2	4	0.29017
ZFP36	4	1.0	1.0	0.999995	583	0	0.5611	3.1713e-09	4.9489e-06	0.000482	3	4	0.5611
TNFAIP3	4	0.059516	0.11437	0.999995	62	1	0.63016	1.3508e-08	4.9489e-06	0.000482	4	3	0.63016
FOS	4	1.0	1.0	0.999995	582	0	0.17212	2.2308e-08	4.9489e-06	0.000482	5	4	0.17212
MITF	4	0.99998	0.99998	0.999995	581	0	0.2473	4.6019e-06	4.9489e-06	0.000482	6	4	0.2473
RC3H1	4	0.99709	0.99707	0.999995	579	0	0.15536	0.00036795	0.0014005	0.116846	7	3	0.15536
RAD54B	4	0.99551	0.99545	0.999995	578	0	0.094632	0.00053048	0.0019251	0.140535	8	3	0.094632
MYCBP2	4	0.99913	0.99905	0.999995	580	0	0.080994	0.00086995	0.0033702	0.21869	9	4	0.080994
NFKB1	4	0.91355	0.91469	0.999995	508	0	0.078044	0.0011054	0.0041818	0.24422	10	3	0.078044
OAS2	4	0.67593	0.67551	0.999995	356	0	0.088167	0.0018634	0.006399	0.336946	11	3	0.088167
OTUD7B	4	0.91732	0.91826	0.999995	511	0	0.078555	0.0020786	0.0069235	0.336946	12	3	0.078555
LINGO2	4	0.70095	0.70039	0.999995	372	0	0.10241	0.0030183	0.0093584	0.420409	13	3	0.10241
POLR2L	4	0.97977	0.97984	0.999995	566	0	0.073657	0.0033544	0.01019	0.425062	14	3	0.073657
TLR2	4	0.72254	0.72192	0.999995	386	0	0.076785	0.0036507	0.011011	0.428709	15	2	0.076785
ATP6V1B2	4	0.95739	0.95789	0.999995	547	0	0.068751	0.0051658	0.014961	0.527381	16	3	0.068751
NLRX1	4	0.8631	0.86341	0.999995	472	0	0.05048	0.0060209	0.01693	0.527381	17	2	0.05048
MAN1C1	4	0.97625	0.97622	0.999995	561	0	0.076295	0.0060745	0.017009	0.527381	18	3	0.076295
ADO	4	0.97676	0.97679	0.999995	562	0	0.067077	0.0061385	0.017158	0.527381	19	3	0.067077
GSK3B	4	0.96333	0.96342	0.999995	550	0	0.079672	0.0081095	0.022146	0.646676	20	3	0.079672
MAPK14	4	0.99424	0.99422	0.999995	577	0	0.066901	0.0087384	0.023799	0.66185	21	3	0.066901
KRAS	4	0.64465	0.64365	0.999995	330	0	0.075066	0.012249	0.032272	0.840103	22	3	0.075066
CYLD	4	0.9467	0.94746	0.999995	539	0	0.055661	0.012652	0.03343	0.840103	23	3	0.055661
ARIH2	4	0.98673	0.98707	0.999995	572	0	0.063516	0.013378	0.035142	0.840103	24	3	0.063516
CSGALNACT1	4	0.69747	0.69702	0.999995	368	0	0.049805	0.013996	0.036657	0.840103	25	2	0.049805
CTCF	4	0.8	0.79942	0.999995	431	0	0.053332	0.015178	0.039428	0.840103	26	2	0.053332
NOD2	4	0.30727	0.36862	0.999995	166	1	0.051458	0.016065	0.041279	0.840103	27	3	0.051458
TUBGCP2	4	0.37376	0.41381	0.999995	198	1	0.054729	0.017402	0.04406	0.840103	28	3	0.054729
MS4A14	4	0.97025	0.97035	0.999995	555	0	0.068335	0.018032	0.045327	0.840103	29	3	0.068335
MERTK	4	0.78253	0.78137	0.999995	423	0	0.030812	0.018722	0.047069	0.840103	30	2	0.030812
CFD	4	0.98482	0.98509	0.999995	571	0	0.054083	0.018937	0.047554	0.840103	31	3	0.054083
ENPP6	4	0.9818	0.98213	0.999995	569	0	0.049708	0.019334	0.048475	0.840103	32	3	0.049708
AP3B1	4	0.77646	0.7752	0.999995	420	0	0.055013	0.020007	0.050098	0.840103	33	3	0.055013
CUL5	4	0.94418	0.945	0.999995	538	0	0.066885	0.020069	0.050207	0.840103	34	2	0.066885
ECSIT	4	0.96446	0.96473	0.999995	551	0	0.055101	0.020694	0.051711	0.840103	35	3	0.055101
SLITRK4	4	0.52055	0.5266	0.999995	265	1	-0.036243	0.021269	0.053008	0.840103	36	1	-0.036243
NINJ1	4	0.75029	0.74925	0.999995	406	0	0.057865	0.021396	0.053226	0.840103	37	3	0.057865
LYZ	4	0.77026	0.76917	0.999995	417	0	0.03739	0.023439	0.057719	0.874981	38	3	0.03739
PLEKHB2	4	0.98739	0.98777	0.999995	574	0	0.085084	0.023771	0.058432	0.874981	39	2	0.085084
ANGPTL6	4	0.66018	0.65994	0.999995	341	0	0.05229	0.024815	0.060926	0.889523	40	3	0.05229
KRT10	4	0.87719	0.87734	0.999995	481	0	0.0032304	0.028003	0.066756	0.930017	41	1	0.0032304
RABGGTA	4	0.88071	0.88081	0.999995	487	0	0.051091	0.02807	0.066885	0.930017	42	2	0.051091
TBK1	4	0.73097	0.73013	0.999995	394	0	0.056613	0.031357	0.071527	0.971434	43	2	0.056613
INPP5D	4	0.91811	0.91894	0.999995	513	0	0.053291	0.033025	0.073685	0.977995	44	2	0.053291
BUD13	4	0.95271	0.95335	0.999995	543	0	0.03191	0.036371	0.078614	0.999995	45	1	0.03191
INTS10	4	0.40573	0.43676	0.999995	208	1	0.024762	0.038696	0.082019	0.999995	46	2	0.024762
DAB2	4	0.95543	0.95592	0.999995	546	0	0.047977	0.040548	0.08474	0.999995	47	2	0.047977
XPR1	4	0.93411	0.93486	0.999995	530	0	0.043803	0.041299	0.08578	0.999995	48	2	0.043803
RNF40	4	0.97958	0.97965	0.999995	565	0	0.042221	0.042056	0.086799	0.999995	49	2	0.042221
ITGB2	4	0.86116	0.86133	0.999995	469	0	0.046298	0.046722	0.093065	0.999995	50	2	0.046298
EGR2	4	0.88852	0.88864	0.999995	492	0	0.034138	0.047519	0.094233	0.999995	51	2	0.034138
NFKBIB	4	0.92323	0.92396	0.999995	518	0	0.041205	0.049648	0.097093	0.999995	52	2	0.041205
JUNB	4	0.95991	0.96011	0.999995	548	0	0.060549	0.049947	0.097538	0.999995	53	2	0.060549
TMEM258	4	0.13604	0.21997	0.999995	91	2	0.010229	0.051593	0.099884	0.999995	54	2	0.010229
P2RY11	4	0.27143	0.3462	0.999995	159	1	0.054717	0.052946	0.10184	0.999995	55	2	0.054717
PICALM	4	0.22292	0.31698	0.999995	144	1	0.026371	0.05538	0.10511	0.999995	56	2	0.026371
DEPDC5	4	0.4871	0.49901	0.999995	250	1	0.028039	0.056235	0.10609	0.999995	57	2	0.028039
TMEM176B	4	0.12652	0.20688	0.999995	88	2	0.0085929	0.059276	0.11076	0.999995	58	2	0.0085929
B4GALT1	4	0.80205	0.80136	0.999995	432	0	0.044161	0.060599	0.11282	0.999995	59	2	0.044161
CDK1	4	0.5966	0.59548	0.999995	301	1	0.037497	0.061153	0.11365	0.999995	60	2	0.037497
EIF2AK2	4	0.90446	0.90516	0.999995	500	0	0.038167	0.062382	0.11548	0.999995	61	2	0.038167
KIF15	4	0.64068	0.6395	0.999995	327	0	0.023117	0.062788	0.11602	0.999995	62	1	0.023117
CD47	4	0.612	0.6109	0.999995	310	0	-0.0063213	0.06442	0.11853	0.999995	63	1	-0.0063213
GPX4	4	0.72645	0.72582	0.999995	390	0	0.060637	0.065096	0.11956	0.999995	64	2	0.060637
PAF1	4	0.27413	0.3481	0.999995	160	1	-0.0028723	0.066051	0.12063	0.999995	65	1	-0.0028723
ZNF703	4	0.569	0.57017	0.999995	290	1	0.011673	0.066931	0.12187	0.999995	66	2	0.011673
JAZF1	4	0.44644	0.46723	0.999995	228	1	0.00069301	0.069306	0.12492	0.999995	67	1	0.00069301
BCL9L	4	0.46813	0.48413	0.999995	237	1	0.038842	0.069722	0.1255	0.999995	68	2	0.038842
ERCC6	4	0.92906	0.92981	0.999995	524	0	0.021895	0.07093	0.12718	0.999995	69	1	0.021895
DBF4	4	0.56258	0.56405	0.999995	285	1	0.019362	0.072552	0.12938	0.999995	70	1	0.019362
MDC	4	0.76567	0.76476	0.999995	413	0	0.042822	0.072558	0.12938	0.999995	71	2	0.042822
CD36	4	0.56442	0.56589	0.999995	286	1	0.029635	0.073514	0.13092	0.999995	72	2	0.029635
PTPRR	4	0.8934	0.89391	0.999995	496	0	0.038432	0.073994	0.13165	0.999995	73	2	0.038432
RNF25	4	0.26872	0.34447	0.999995	157	1	0.023929	0.074957	0.13289	0.999995	74	2	0.023929
IFNGR2	4	0.97697	0.97701	0.999995	563	0	0.039127	0.07579	0.13419	0.999995	75	2	0.039127
MIB2	4	0.39639	0.4299	0.999995	205	1	-0.05373	0.077406	0.13666	0.999995	76	1	-0.05373
ACVR1B	4	0.95442	0.95483	0.999995	545	0	0.031278	0.079019	0.13898	0.999995	77	2	0.031278
GHITM	4	0.70578	0.70537	0.999995	376	0	0.030558	0.08224	0.14337	0.999995	78	2	0.030558
NFIC	4	0.22576	0.31849	0.999995	145	1	0.028598	0.083848	0.14561	0.999995	79	2	0.028598
TTC33	4	0.70987	0.70956	0.999995	377	0	0.018812	0.085453	0.1478	0.999995	80	1	0.018812
NSF	4	0.91328	0.91438	0.999995	507	0	0.032555	0.086889	0.15012	0.999995	81	2	0.032555
SNX13	4	0.69254	0.69166	0.999995	364	0	0.039359	0.087056	0.1503	0.999995	82	1	0.039359
GSDMB	4	0.18535	0.28729	0.999995	128	1	0.015208	0.087401	0.15078	0.999995	83	2	0.015208
MAP2K6	4	0.3266	0.38213	0.999995	178	1	0.012232	0.088429	0.15221	0.999995	84	2	0.012232
DSG1	4	0.90651	0.90744	0.999995	502	0	0.050229	0.088657	0.15258	0.999995	85	2	0.050229
DLEC1	4	0.41036	0.4402	0.999995	212	1	0.040712	0.089461	0.15367	0.999995	86	2	0.040712
IL12B	4	0.48083	0.49416	0.999995	246	1	0.032562	0.090256	0.15466	0.999995	87	1	0.032562
CHUK	4	0.87861	0.87886	0.999995	484	0	-0.001632	0.091852	0.15691	0.999995	88	1	-0.001632
CTSZ	4	0.67959	0.67912	0.999995	358	0	0.033987	0.092584	0.15784	0.999995	89	2	0.033987
NCAPD2	4	0.85197	0.85216	0.999995	463	0	0.0098706	0.093447	0.15906	0.999995	90	1	0.0098706
TMEM176A	4	0.81203	0.81167	0.999995	436	0	0.040811	0.096279	0.16319	0.999995	91	2	0.040811
CBLL1	4	0.93231	0.93306	0.999995	528	0	0.027859	0.097345	0.1647	0.999995	92	2	0.027859
CARD10	4	0.78579	0.78477	0.999995	427	0	0.01092	0.098218	0.16604	0.999995	93	1	0.01092
PPP2R1B	4	0.50251	0.51127	0.999995	255	1	0.023256	0.099489	0.16765	0.999995	94	2	0.023256
TGIF1	4	0.16905	0.26542	0.999995	117	1	0.019982	0.10139	0.17028	0.999995	95	1	0.019982
GYPC	4	0.54288	0.54641	0.999995	275	1	0.015406	0.10165	0.1706	0.999995	96	2	0.015406
MAP3K14	4	0.89276	0.89333	0.999995	495	0	0.035549	0.10219	0.17146	0.999995	97	2	0.035549
ICAM1	4	0.61116	0.60992	0.999995	309	0	-0.00032464	0.10297	0.17259	0.999995	98	1	-0.00032464
JUN	4	0.90178	0.90236	0.999995	499	0	0.040567	0.10438	0.17452	0.999995	99	2	0.040567
TGFBR1	4	0.53521	0.53925	0.999995	271	1	0.041103	0.10603	0.17689	0.999995	100	2	0.041103
ADCY4	4	0.5015	0.51048	0.999995	254	1	0.029311	0.1077	0.1793	0.999995	101	1	0.029311
IL2RA	4	0.88449	0.88466	0.999995	490	0	0.05113	0.10928	0.18146	0.999995	102	2	0.05113
AHR	4	0.31892	0.37681	0.999995	173	1	0.037896	0.11441	0.18869	0.999995	103	2	0.037896
FADD	4	0.37255	0.41326	0.999995	197	1	0.046745	0.11783	0.19319	0.999995	104	2	0.046745
USP21	4	0.35792	0.40306	0.999995	189	1	0.027844	0.11868	0.19442	0.999995	105	1	0.027844
BRD7	4	0.54952	0.55211	0.999995	278	1	0.0055927	0.12024	0.1967	0.999995	106	1	0.0055927
GYPE	4	0.25506	0.3363	0.999995	154	1	-0.0044808	0.1207	0.19747	0.999995	107	2	-0.0044808
