id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
Non-Targeting,593,-1.31E-66,4.95E-06,0.000289,1,0,0,3.70E-58,4.95E-06,0.000578,1,0,0
TNFAIP3,4,1,1,0.999995,584,0,0.76414,3.09E-11,4.95E-06,0.000578,2,4,0.76414
ZFP36,4,1,1,0.999995,583,0,0.53907,8.26E-10,4.95E-06,0.000578,3,4,0.53907
DUSP1,4,1,1,0.999995,582,0,0.27149,3.96E-09,4.95E-06,0.000578,4,4,0.27149
MITF,4,1,1,0.999995,581,0,0.44933,6.00E-08,4.95E-06,0.000578,5,4,0.44933
FOS,4,0.87755,0.87777,0.999995,493,0,0.12551,7.55E-05,0.00030188,0.029383,6,3,0.12551
ADO,4,0.93909,0.93982,0.999995,528,0,0.13817,0.00011264,0.00044045,0.036746,7,3,0.13817
CHUK,4,0.95459,0.95497,0.999995,538,0,0.11202,0.00013773,0.00053943,0.039379,8,3,0.11202
MYCBP2,4,0.9891,0.98934,0.999995,567,0,0.13295,0.00029188,0.0011234,0.072897,9,3,0.13295
REL,4,0.97098,0.97108,0.999995,549,0,0.089283,0.00065646,0.0024794,0.144798,10,3,0.089283
SFPQ,4,0.99815,0.99807,0.999995,578,0,0.096967,0.00085293,0.0031228,0.165791,11,3,0.096967
CREB1,4,0.73732,0.7364,0.999995,396,0,0.096767,0.0012142,0.0040334,0.196291,12,3,0.096767
RABGGTA,4,0.80306,0.80253,0.999995,439,0,0.079448,0.0013624,0.0044788,0.201201,13,2,0.079448
LEO1,4,0.53521,0.53424,0.999995,270,1,0.079964,0.0019537,0.0058744,0.245045,14,3,0.079964
OTULIN,4,0.90966,0.91076,0.999995,511,0,0.064936,0.0022251,0.0066266,0.257996,15,2,0.064936
RC3H1,4,0.99852,0.99845,0.999995,579,0,0.10023,0.0028408,0.0081905,0.290887,16,3,0.10023
RHOA,4,0.34177,0.36764,0.999995,173,1,0.081726,0.0029378,0.0084676,0.290887,17,3,0.081726
POLR2L,4,0.74785,0.74688,0.999995,403,0,0.085375,0.0032682,0.0092693,0.300739,18,3,0.085375
ACVR1B,4,0.99624,0.99628,0.999995,574,0,0.086724,0.0053989,0.014822,0.455583,19,3,0.086724
MYB,4,0.67148,0.67118,0.999995,349,0,0.071794,0.0062029,0.016653,0.484167,20,3,0.071794
CYLD,4,0.99694,0.99699,0.999995,577,0,0.066,0.0068022,0.018138,0.484167,21,3,0.066
EIF2AK2,4,0.99908,0.99894,0.999995,580,0,0.073329,0.0069403,0.018544,0.484167,22,3,0.073329
CD19,4,0.90881,0.90984,0.999995,510,0,0.056796,0.0071598,0.019068,0.484167,23,2,0.056796
NFKB1,4,0.9919,0.99227,0.999995,569,0,0.063701,0.0076573,0.020345,0.485665,24,3,0.063701
KAT5,4,0.39874,0.41264,0.999995,199,1,0.072526,0.0078526,0.02079,0.485665,25,2,0.072526
PGM3,4,0.96037,0.9605,0.999995,543,0,0.058266,0.010311,0.027194,0.610827,26,2,0.058266
RXRA,4,0.89935,0.89978,0.999995,507,0,0.054774,0.011659,0.030332,0.656069,27,3,0.054774
ERG,4,0.73857,0.73747,0.999995,398,0,0.034308,0.013082,0.034172,0.712737,28,2,0.034308
IL18RAP,4,0.99313,0.99326,0.999995,572,0,0.066669,0.015178,0.038448,0.774267,29,2,0.066669
JUNB,4,0.91732,0.91826,0.999995,517,0,0.070309,0.020898,0.047,0.895115,30,2,0.070309
RPN1,4,0.71592,0.71521,0.999995,378,0,0.056439,0.021178,0.047515,0.895115,31,2,0.056439
TNFRSF14,4,0.98956,0.98982,0.999995,568,0,0.05419,0.025881,0.054651,0.978893,32,2,0.05419
SLITRK4,4,0.82211,0.82239,0.999995,454,0,0.029153,0.026323,0.055314,0.978893,33,1,0.029153
CCDC174,4,0.60264,0.60146,0.999995,305,0,0.04998,0.02807,0.057838,0.993455,34,2,0.04998
SLITRK5,4,0.82022,0.82036,0.999995,453,0,0.032772,0.031669,0.063143,0.999995,35,2,0.032772
GSDMA,4,0.85682,0.857,0.999995,477,0,0.040824,0.032006,0.063747,0.999995,36,2,0.040824
IRF7,4,0.16005,0.24153,0.999995,113,1,-0.027756,0.038039,0.072685,0.999995,37,1,-0.027756
PPARA,4,0.95004,0.95084,0.999995,534,0,0.050051,0.038696,0.073823,0.999995,38,2,0.050051
FASLG,4,0.84017,0.84032,0.999995,467,0,0.023704,0.039704,0.075476,0.999995,39,2,0.023704
DPP10,4,0.98239,0.98261,0.999995,562,0,0.050382,0.041299,0.077782,0.999995,40,2,0.050382
CYBA,4,0.74968,0.74874,0.999995,405,0,0.043827,0.041366,0.077871,0.999995,41,2,0.043827
ITGAL,4,0.72385,0.7233,0.999995,386,0,0.039623,0.046325,0.084968,0.999995,42,2,0.039623
CD36,4,0.7557,0.75493,0.999995,407,0,0.045471,0.04792,0.087314,0.999995,43,2,0.045471
HLA-DRB5,4,0.18828,0.25985,0.999995,120,1,-0.030634,0.049648,0.089739,0.999995,44,1,-0.030634
DMAP1,4,0.94399,0.94481,0.999995,531,0,0.054324,0.050767,0.091481,0.999995,45,2,0.054324
IFNAR1,4,0.40921,0.42136,0.999995,205,1,0.016482,0.051298,0.092104,0.999995,46,1,0.016482
KLRC4-KLRK1,4,0.5146,0.51384,0.999995,257,1,0.027926,0.054529,0.096994,0.999995,47,2,0.027926
PAIP1,4,0.34802,0.37238,0.999995,176,1,0.016007,0.056235,0.09931,0.999995,48,2,0.016007
