sgRNA	Gene	D1_High	D1_Low	D2_High	D2_Low
s_2449	Non-Targeting Control	2249	1764	2079	2198
s_1463	PGM3	4621	3686	4670	4979
s_2103	TSPAN4	3452	2724	3103	3643
s_1743	SAMD9	4396	3588	4139	4924
s_1166	MAP3K8	4208	3717	3992	5100
s_2911	Non-Targeting Control	1341	996	1167	1329
s_1950	TICAM2	3656	5086	3398	6525
s_439	CTNS	3377	2686	2985	3412
s_1832	SLITRK5	4531	3810	4268	4957
s_2396	Non-Targeting Control	4842	3924	4625	4980
s_2276	SOCS3	2636	2193	2490	2887
s_850	IFNAR1	3828	3132	3427	4125
s_2143	UBE2N	4989	4170	4570	5238
s_809	HLA-E	2598	2142	2295	2671
s_1969	TLR2	2888	2279	2698	2942
s_1211	MEF2A	4360	3582	4211	4562
s_2277	CUL5	3387	2670	3174	3472
s_1512	PPARA	2723	2170	2600	2809
s_2326	GSDMB	6960	5784	6493	7271
s_713	GPSM3	4075	3467	3779	4473
s_174	BRD2	4972	4246	4574	5479
s_2524	Non-Targeting Control	3828	3089	3522	4075
s_1775	SGMS1	4982	3992	4497	5133
s_430	CTCF	2659	2010	2460	2723
s_1093	LRP1B	3448	2844	3254	3871
s_151	BBS9	3907	3083	3588	4065
s_2401	Non-Targeting Control	4742	2549	4394	4818
s_409	CSF2RB	3417	2888	3267	3682
s_379	COMMD1	3396	2823	3157	3633
s_1466	PICALM	3427	2805	3236	3690
s_2398	Non-Targeting Control	3629	2919	3453	3872
s_1515	PPIF	2948	2369	2677	3169
s_1513	PPIF	3590	3037	3315	3854
s_1553	PRKCQ	3050	2441	2670	3139
s_1960	TIRAP	4595	3811	4359	5146
s_605	ERBB2	4513	3683	4108	4875
s_873	IKZF1	4446	3751	3975	4755
s_1186	MAPK8	6300	5017	5846	6508
s_2379	Non-Targeting Control	4606	3847	4449	5029
s_2056	TNFSF11	4556	3750	4134	4712
s_1522	PPP1R10	4925	3910	4411	5085
s_730	GTF2IRD1	3368	2704	3147	3510
s_1296	NCF4	4881	3889	4387	5104
s_2399	Non-Targeting Control	4465	3593	4178	4713
s_2343	Non-Targeting Control	4957	4029	4535	5168
s_300	CD36	2730	2305	2586	2922
s_1367	NLRX1	3977	3234	3619	4383
s_2168	VARS2	4172	3419	3826	4540
s_982	ITGB2	2967	2437	2585	3215
