,variable,p_value,log_fc,comparison,adj_p_value,target_gene
0,0,0.6767545141546535,0.11415687,PIP4K2A_vs_NTC,0.6767545141546535,PIP4K2A
0,0,0.764122063002004,0.07805669,C3_vs_NTC,0.764122063002004,C3
0,0,0.31283067779335316,0.20864594,WDR61_vs_NTC,0.31283067779335316,WDR61
0,0,0.7132553285029438,0.17751878,AGPAT1_vs_NTC,0.7132553285029438,AGPAT1
0,0,0.550548935587232,0.087076604,MAPK1_vs_NTC,0.550548935587232,MAPK1
0,0,0.6791283538081965,0.17656785,DDAH2_vs_NTC,0.6791283538081965,DDAH2
0,0,0.12839309670462715,0.00079742074,CBLL1_vs_NTC,0.12839309670462715,CBLL1
0,0,1.0,0.0,NTC_vs_NTC,1.0,NTC
0,0,0.026724581372720355,0.2755493,TMEM176A_vs_NTC,0.026724581372720355,TMEM176A
0,0,0.8152278079889984,0.04600489,DHX15_vs_NTC,0.8152278079889984,DHX15
0,0,0.5866526956103575,0.06787142,IL15RA_vs_NTC,0.5866526956103575,IL15RA
0,0,0.5887175119827515,0.079964966,DMD_vs_NTC,0.5887175119827515,DMD
0,0,0.15942823163212627,0.054756075,IL10_vs_NTC,0.15942823163212627,IL10
0,0,0.30920848977169557,0.12002641,UNG_vs_NTC,0.30920848977169557,UNG
0,0,0.08651602198485699,0.16313049,RAB18_vs_NTC,0.08651602198485699,RAB18
0,0,0.244470593003544,0.10152897,MAP3K7_vs_NTC,0.244470593003544,MAP3K7
0,0,0.5331253522427926,0.08628717,IKBKB_vs_NTC,0.5331253522427926,IKBKB
0,0,0.21560345847441453,0.18476412,CD38_vs_NTC,0.21560345847441453,CD38
0,0,0.2547922582292852,0.05955258,CXCR4_vs_NTC,0.2547922582292852,CXCR4
0,0,0.7213790678567795,0.11662212,EFR3A_vs_NTC,0.7213790678567795,EFR3A
0,0,0.0028654189033380964,0.22502565,NLRX1_vs_NTC,0.0028654189033380964,NLRX1
0,0,0.916452134852572,0.13522166,MSN_vs_NTC,0.916452134852572,MSN
0,0,0.2206852965260434,0.06379831,TRAF3_vs_NTC,0.2206852965260434,TRAF3
0,0,0.7290828265514235,0.09173319,IL12B_vs_NTC,0.7290828265514235,IL12B
0,0,0.07654757439024945,-0.05235283,MAF_vs_NTC,0.07654757439024945,MAF
0,0,0.12508789031555875,0.19867018,CRIPAK_vs_NTC,0.12508789031555875,CRIPAK
0,0,0.029172439646638963,0.16602847,EGR1_vs_NTC,0.029172439646638963,EGR1
0,0,0.5386768801889453,0.045358866,SLC2A8_vs_NTC,0.5386768801889453,SLC2A8
0,0,0.9018570173237963,0.17590126,CEBPA_vs_NTC,0.9018570173237963,CEBPA
0,0,3.807771307405926e-05,0.38422543,RHOA_vs_NTC,3.807771307405926e-05,RHOA
0,0,0.9889529873970591,0.09165266,CTNND1_vs_NTC,0.9889529873970591,CTNND1
0,0,0.07085502635385689,0.098644406,MAPKAPK2_vs_NTC,0.07085502635385689,MAPKAPK2
0,0,0.2748744455819778,0.05073005,PICALM_vs_NTC,0.2748744455819778,PICALM
0,0,0.7250032803335578,0.112636834,MAPK3_vs_NTC,0.7250032803335578,MAPK3
0,0,0.34298942652873066,0.010029912,PSMB9_vs_NTC,0.34298942652873066,PSMB9
0,0,0.4622114963649655,0.16833943,PRDM1_vs_NTC,0.4622114963649655,PRDM1
0,0,0.22312268067186214,0.020851016,CEBPG_vs_NTC,0.22312268067186214,CEBPG
0,0,0.031138273613101168,0.062185794,G6PC3_vs_NTC,0.031138273613101168,G6PC3
0,0,0.5765138574133157,0.09945452,CTSZ_vs_NTC,0.5765138574133157,CTSZ
0,0,0.7459529811993546,0.09482047,SAA1_vs_NTC,0.7459529811993546,SAA1
0,0,0.15006334312680203,0.0071544945,A4GALT_vs_NTC,0.15006334312680203,A4GALT
0,0,0.9967949277255866,0.08499178,CD151_vs_NTC,0.9967949277255866,CD151
0,0,0.12648529532121291,0.18700993,HAX1_vs_NTC,0.12648529532121291,HAX1
0,0,0.2628486351858902,0.14002186,SOCS1_vs_NTC,0.2628486351858902,SOCS1
0,0,0.9020176722768635,0.13800803,MUC21_vs_NTC,0.9020176722768635,MUC21
0,0,0.7094658097837154,0.030054867,ANGPTL6_vs_NTC,0.7094658097837154,ANGPTL6
0,0,0.17768812712062243,0.25523645,KSR2_vs_NTC,0.17768812712062243,KSR2
0,0,0.9701979316569097,0.07559833,TUBGCP2_vs_NTC,0.9701979316569097,TUBGCP2
0,0,0.43173688096431295,-0.059450015,BTK_vs_NTC,0.43173688096431295,BTK
0,0,0.4707843158326488,0.12182158,CHUK_vs_NTC,0.4707843158326488,CHUK
0,0,0.8634287944326182,0.16616848,PRKAA1_vs_NTC,0.8634287944326182,PRKAA1
0,0,0.10751362964495875,0.26129144,TBK1_vs_NTC,0.10751362964495875,TBK1
0,0,2.9849402866248757e-07,0.4253934,CTR9_vs_NTC,2.9849402866248757e-07,CTR9
0,0,0.4200278173876375,0.13846445,FGF12_vs_NTC,0.4200278173876375,FGF12
0,0,0.01619212914050395,0.22074789,CXCL10_vs_NTC,0.01619212914050395,CXCL10
0,0,0.9824965666870958,0.0995346,SLC26A4_vs_NTC,0.9824965666870958,SLC26A4
0,0,0.662722202376897,0.13068402,PIK3R1_vs_NTC,0.662722202376897,PIK3R1
0,0,0.08290676573065221,0.1688985,DLEC1_vs_NTC,0.08290676573065221,DLEC1
0,0,0.8188915409164415,0.050324887,FCGR2A_vs_NTC,0.8188915409164415,FCGR2A
0,0,0.6532807988201967,0.139844,IER3_vs_NTC,0.6532807988201967,IER3
0,0,0.4363333153502924,0.093040496,MIDN_vs_NTC,0.4363333153502924,MIDN
0,0,0.18069617691715145,0.08942604,NFKBIE_vs_NTC,0.18069617691715145,NFKBIE
0,0,0.21568401612238208,0.116619915,KIDINS220_vs_NTC,0.21568401612238208,KIDINS220
0,0,0.2276504429056191,0.2656579,LYZ_vs_NTC,0.2276504429056191,LYZ
0,0,0.804098672173166,0.1288886,ZBTB7C_vs_NTC,0.804098672173166,ZBTB7C
0,0,0.8873008230561334,0.20940948,AKT1_vs_NTC,0.8873008230561334,AKT1
0,0,0.6379691460850767,0.1837605,HSPA1B_vs_NTC,0.6379691460850767,HSPA1B
0,0,0.7928099895375043,0.10076669,PPP2R1B_vs_NTC,0.7928099895375043,PPP2R1B
0,0,0.7618299741817874,0.11915356,IRF3_vs_NTC,0.7618299741817874,IRF3
0,0,0.7561344342022304,0.12271929,PPIF_vs_NTC,0.7561344342022304,PPIF
0,0,0.46763800958770574,0.110574275,TMEM70_vs_NTC,0.46763800958770574,TMEM70
0,0,0.3336964767169879,0.2006549,UBE2F_vs_NTC,0.3336964767169879,UBE2F
0,0,0.00045509871777522085,0.2945726,ACVR1B_vs_NTC,0.00045509871777522085,ACVR1B
