,variable,p_value,log_fc,comparison,adj_p_value,gene_name,contrast,n_cells_target,mean_expr_gene
28,28,1.0982961844270256e-06,0.14816344,FADD_vs_other,3.734207027051887e-05,MX1,FADD,3034,3.8982668
12,12,6.65559226766179e-05,0.10384846,FADD_vs_other,0.0011314506855025,CXCL8,FADD,3034,115.9534
30,30,0.0002377391165217,0.2895192,FADD_vs_other,0.0026943766539135,RSAD2,FADD,3034,1.6849457
8,8,0.000614122918926,0.12642068,FADD_vs_other,0.0052200448108711,CD86,FADD,3034,1.115595
1,1,0.0012290412797657,0.08264446,FADD_vs_other,0.0083574807024074,CCL3,FADD,3034,32.451645
25,25,0.0022760405113861,0.15073276,FADD_vs_other,0.0128975628978545,ISG15,FADD,3034,5.642433
2,2,0.0156800425956743,0.07940054,FADD_vs_other,0.0761602068932755,CCL4,FADD,3034,59.26655
31,31,0.0180690081694377,0.05648017,FADD_vs_other,0.0767932847201104,SIRPA,FADD,3034,4.248423
5,5,0.0458567654926655,-0.013549566,FADD_vs_other,0.1502655860207398,CD163,FADD,3034,7.200462
29,29,0.0476961702845534,0.23056707,FADD_vs_other,0.1502655860207398,OASL,FADD,3034,1.0190302
11,11,0.0486153366537687,0.10632813,FADD_vs_other,0.1502655860207398,CXCL2,FADD,3034,3.206778
14,14,0.0893437167113001,0.06587683,FADD_vs_other,0.2531405306820172,FCGR1A,FADD,3034,0.90139365
23,23,0.1053170572023671,0.02916193,FADD_vs_other,0.2754446111446526,IL23A,FADD,3034,0.3857002
27,27,0.1285855660791021,-0.00953877,FADD_vs_other,0.3122792319063909,MRC1,FADD,3034,1.4183
20,20,0.180696188337132,0.06186223,FADD_vs_other,0.4095780268974994,IL18,FADD,3034,14.263488
0,0,0.3213904081520954,-0.04692459,FADD_vs_other,0.6829546173232027,CCL2,FADD,3034,27.363447
9,9,0.3509999224959359,0.105531216,FADD_vs_other,0.6960989704024253,CXCL1,FADD,3034,14.561929
7,7,0.3685229843306957,0.045306683,FADD_vs_other,0.6960989704024253,CD80,FADD,3034,5.6045413
3,3,0.4609540792611531,0.06254816,FADD_vs_other,0.8248651944673268,CCL5,FADD,3034,21.619446
26,26,0.5298198696990799,-0.005815834,FADD_vs_other,0.9006937784884358,MARCO,FADD,3034,1.0741963
16,16,0.639205429482954,1.8379245,FADD_vs_other,0.9983932854191304,IFNB1,FADD,3034,0.016695265
22,22,0.6738834332862857,0.060022354,FADD_vs_other,0.9983932854191304,IL1B,FADD,3034,75.5571
13,13,0.6816921576424146,-0.30531108,FADD_vs_other,0.9983932854191304,CXCL9,FADD,3034,0.26002678
4,4,0.743731242926311,0.01329422,FADD_vs_other,0.9983932854191304,CCL7,FADD,3034,0.13488086
