,variable,p_value,log_fc,comparison,adj_p_value,target_gene
0,0,0.8024042547213935,0.03631854,PIP4K2A_vs_other,0.8024042547213935,PIP4K2A
0,0,0.3979552817558709,1.2844801e-05,C3_vs_other,0.3979552817558709,C3
0,0,0.11166185637580611,0.13107091,WDR61_vs_other,0.11166185637580611,WDR61
0,0,0.3034296634680712,0.099986404,AGPAT1_vs_other,0.3034296634680712,AGPAT1
0,0,0.963274610059055,0.009068787,MAPK1_vs_other,0.963274610059055,MAPK1
0,0,0.2836786383964589,0.099019825,DDAH2_vs_other,0.2836786383964589,DDAH2
0,0,0.3323133068581293,-0.077582955,CBLL1_vs_other,0.3323133068581293,CBLL1
0,0,3.344196210701715e-20,0.07638946,NTC_vs_other,3.344196210701715e-20,NTC
0,0,0.0027710229147421953,0.19854364,TMEM176A_vs_other,0.0027710229147421953,TMEM176A
0,0,0.6751603462308029,-0.032203794,DHX15_vs_other,0.6751603462308029,DHX15
0,0,0.9966301043957582,-0.010209888,IL15RA_vs_other,0.9966301043957582,IL15RA
0,0,0.8895887252205429,0.001932919,DMD_vs_other,0.8895887252205429,DMD
0,0,0.04836142677431864,-0.02335912,IL10_vs_other,0.04836142677431864,IL10
0,0,0.6624300704646435,0.042188615,UNG_vs_other,0.6624300704646435,UNG
0,0,0.013035648975374738,0.085554,RAB18_vs_other,0.013035648975374738,RAB18
0,0,0.479491033658063,0.023557037,MAP3K7_vs_other,0.479491033658063,MAP3K7
0,0,0.8724213216598462,0.008265048,IKBKB_vs_other,0.8724213216598462,IKBKB
0,0,0.054254003345290416,0.10720259,CD38_vs_other,0.054254003345290416,CD38
0,0,0.5474018497421709,-0.018569767,CXCR4_vs_other,0.5474018497421709,CXCR4
0,0,0.7792884019102982,0.038781673,EFR3A_vs_other,0.7792884019102982,EFR3A
0,0,0.00023193988115243608,0.14755473,NLRX1_vs_other,0.00023193988115243608,NLRX1
0,0,0.4897071195347529,0.057412595,MSN_vs_other,0.4897071195347529,MSN
0,0,0.5414313657355266,-0.014324695,TRAF3_vs_other,0.5414313657355266,TRAF3
0,0,0.3434433465180192,0.0137452185,IL12B_vs_other,0.3434433465180192,IL12B
0,0,0.2311618324619087,-0.1310821,MAF_vs_other,0.2311618324619087,MAF
0,0,0.016627736051274513,0.12141675,CRIPAK_vs_other,0.016627736051274513,CRIPAK
0,0,0.00427140555255146,0.08833119,EGR1_vs_other,0.00427140555255146,EGR1
0,0,0.994502843350896,-0.032844514,SLC2A8_vs_other,0.994502843350896,SLC2A8
0,0,0.6682823317098382,0.09823829,CEBPA_vs_other,0.6682823317098382,CEBPA
0,0,4.905065940239746e-07,0.30793664,RHOA_vs_other,4.905065940239746e-07,RHOA
0,0,0.5486948606904669,0.013664156,CTNND1_vs_other,0.5486948606904669,CTNND1
0,0,0.2213436929088035,0.020724893,MAPKAPK2_vs_other,0.2213436929088035,MAPKAPK2
0,0,0.06838679168509325,-0.027450025,PICALM_vs_other,0.06838679168509325,PICALM
0,0,0.2881251607583257,0.034785002,MAPK3_vs_other,0.2881251607583257,MAPK3
0,0,0.6850404396179005,-0.06830081,PSMB9_vs_other,0.6850404396179005,PSMB9
0,0,0.1521513150584857,0.09079036,PRDM1_vs_other,0.1521513150584857,PRDM1
0,0,0.510384093329356,-0.057444245,CEBPG_vs_other,0.510384093329356,CEBPG
0,0,0.1015749684989423,-0.015931249,G6PC3_vs_other,0.1015749684989423,G6PC3
0,0,0.9850481352420932,0.02149582,CTSZ_vs_other,0.9850481352420932,CTSZ
0,0,0.8463875539148629,0.016835958,SAA1_vs_other,0.8463875539148629,SAA1
0,0,0.3767619117051152,-0.071229994,A4GALT_vs_other,0.3767619117051152,A4GALT
0,0,0.4923165348000159,0.006985426,CD151_vs_other,0.4923165348000159,CD151
0,0,0.03299404355901933,0.10934469,HAX1_vs_other,0.03299404355901933,HAX1
0,0,0.05460820372883327,0.062364697,SOCS1_vs_other,0.05460820372883327,SOCS1
