id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Non-Targeting	1186	4.624e-136	4.9489e-06	0.00017	1	0	0.0	-7.6652e-111	4.9489e-06	0.000482	1	0	0.0
TNFAIP3	8	0.13154	0.25812	0.999995	104	1	0.6755	4.4231e-18	4.9489e-06	0.000482	2	7	0.6755
ZFP36	8	1.0	1.0	0.999995	583	0	0.54941	8.9636e-18	4.9489e-06	0.000482	3	8	0.54941
DUSP1	8	1.0	1.0	0.999995	584	0	0.28964	1.4069e-17	4.9489e-06	0.000482	4	8	0.28964
MITF	8	1.0	1.0	0.999995	582	0	0.28457	1.2882e-12	4.9489e-06	0.000482	5	8	0.28457
FOS	8	0.98558	0.98527	0.999995	556	0	0.16623	5.669e-11	4.9489e-06	0.000482	6	7	0.16623
RC3H1	8	0.99999	0.99996	0.999995	581	0	0.12971	9.5679e-06	1.4847e-05	0.001239	7	6	0.12971
POLR2L	8	0.92958	0.92896	0.999995	496	0	0.073916	2.2576e-05	9.403e-05	0.006864	8	6	0.073916
ADO	8	0.99641	0.99636	0.999995	570	0	0.10102	5.6787e-05	0.0002227	0.014162	9	6	0.10102
NFKB1	8	0.99223	0.99218	0.999995	564	0	0.076612	6.667e-05	0.0002425	0.014162	10	6	0.076612
CHUK	8	0.98463	0.98449	0.999995	554	0	0.056668	7.1974e-05	0.00030188	0.016027	11	4	0.056668
MYCBP2	8	0.99989	0.99987	0.999995	580	0	0.10177	9.489e-05	0.00046025	0.022399	12	6	0.10177
CYLD	8	0.99718	0.99709	0.999995	572	0	0.060569	0.00030518	0.0015886	0.071365	13	6	0.060569
REL	8	0.96906	0.96981	0.999995	542	0	0.062711	0.00056771	0.0029248	0.122007	14	4	0.062711
EIF2AK2	8	0.98967	0.98947	0.999995	561	0	0.065965	0.0010761	0.0052508	0.193461	15	5	0.065965
SLITRK4	8	0.78374	0.78188	0.999995	393	1	-0.0051151	0.0010922	0.0053003	0.193461	16	3	-0.0051151
RABGGTA	8	0.96066	0.96114	0.999995	529	0	0.051336	0.0014472	0.0065276	0.224243	17	4	0.051336
RHOA	8	0.54179	0.62018	0.999995	281	1	0.040338	0.0036492	0.015515	0.503372	18	4	0.040338
ACVR1B	8	0.99783	0.99777	0.999995	573	0	0.054299	0.0040753	0.017049	0.524034	19	5	0.054299
JUNB	8	0.99368	0.99373	0.999995	566	0	0.062596	0.0046449	0.01894	0.553035	20	4	0.062596
LEO1	8	0.4128	0.54867	0.999995	237	2	0.053749	0.0056015	0.021869	0.608175	21	4	0.053749
RAD54B	8	0.99957	0.99956	0.999995	579	0	0.043518	0.0067614	0.025096	0.666185	22	3	0.043518
TBK1	8	0.9351	0.93436	0.999995	504	0	0.045837	0.0075981	0.02765	0.687283	23	3	0.045837
OTULIN	8	0.98144	0.98148	0.999995	551	0	0.026792	0.0082297	0.029134	0.687283	24	3	0.026792
CUL5	8	0.99686	0.99681	0.999995	571	0	0.052435	0.0083516	0.029421	0.687283	25	4	0.052435
SFPQ	8	0.82366	0.8225	0.999995	415	0	0.052795	0.010469	0.035024	0.772192	26	3	0.052795
CD19	8	0.54092	0.61981	0.999995	280	1	0.016627	0.010874	0.036162	0.772192	27	3	0.016627
CD36	8	0.81286	0.81127	0.999995	409	0	0.037611	0.011213	0.037023	0.772192	28	4	0.037611
TUBGCP2	8	0.60896	0.65446	0.999995	308	1	0.054974	0.011985	0.039012	0.785629	29	4	0.054974
MS4A14	8	0.99912	0.99912	0.999995	575	0	0.066621	0.013019	0.041972	0.805132	30	4	0.066621
CREB1	8	0.93042	0.9298	0.999995	499	0	0.07218	0.013621	0.043585	0.805132	31	3	0.07218
TNFRSF14	8	0.94475	0.94451	0.999995	514	0	0.032419	0.013975	0.044605	0.805132	32	3	0.032419
GSK3B	8	0.86008	0.85918	0.999995	436	0	0.043135	0.014273	0.045495	0.805132	33	4	0.043135
PLEKHB2	8	0.9995	0.99947	0.999995	578	0	0.047352	0.015777	0.049346	0.824191	34	4	0.047352
MAPK14	8	0.99926	0.99929	0.999995	576	0	0.045702	0.016928	0.052335	0.824191	35	4	0.045702
TLR2	8	0.091325	0.19511	0.999995	81	2	0.034159	0.017384	0.053473	0.824191	36	3	0.034159
IFNGR2	8	0.99944	0.99944	0.999995	577	0	0.04291	0.018228	0.055789	0.824191	37	4	0.04291
DLEC1	8	0.67832	0.6972	0.999995	333	1	0.034063	0.018516	0.056522	0.824191	38	4	0.034063
OAS2	8	0.88823	0.88802	0.999995	455	0	0.021123	0.018805	0.057215	0.824191	39	3	0.021123
RXRA	8	0.97211	0.97282	0.999995	545	0	0.050716	0.019296	0.058521	0.824191	40	4	0.050716
INPP5D	8	0.99291	0.99292	0.999995	565	0	0.047795	0.019814	0.059927	0.824191	41	4	0.047795
CTCF	8	0.96096	0.96144	0.999995	530	0	0.042906	0.021006	0.063203	0.824191	42	3	0.042906
RNF25	8	0.24457	0.38397	0.999995	154	2	0.017508	0.021448	0.064202	0.824191	43	4	0.017508
OTUD7B	8	0.013504	0.0441	0.559877	46	3	0.017763	0.021772	0.065103	0.824191	44	3	0.017763
NLRX1	8	0.53305	0.61615	0.999995	276	1	0.012124	0.021916	0.065489	0.824191	45	2	0.012124
TGFBR1	8	0.793	0.79082	0.999995	398	1	0.048307	0.021983	0.065687	0.824191	46	4	0.048307
PICALM	8	0.13467	0.2633	0.999995	107	2	0.029714	0.022199	0.06633	0.824191	47	4	0.029714
